Query	GeneratedQuery
Добрый день.Подскажите пожалуста.У меня работник в отпуске по 28.12.2023 г включительно.Пришел написал заявление на увольнение.Каким числом я его должна уволить 28 или 29 декабря	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день. Подскажите, что нужно делать, если сотрудник во время отпуска пошел на больничный ? Нужно ли отвечать на этот больничный?	КОРОТКИЙ ВОПРОС: Нужно ли отвечать на больничный, когда сотрудник на отпуске?
Здравствуйте! Подскажите, пожалуйста, если сотрудник берет отпуск с последующим увольнением, то он же может не брать отпуск на все накопленные дни, а получить еще компенсацию за неотгул. отпуск в последний раб. день?	КОРОТКИЙ ВОПРОС: Можно ли сотруднику, которая берет отпуск с последующим увольнением, не брать отпуск на все накопленные дни, а получить еще компенсацию за неотгул отпуск в последний рабочий день?
Здравствуйте. Сотрудница работает внешним совместителем. У нее заканчивается больничный по беременности и родам 02.02.24. Пособие до 1,5 лет она будет оформлять по основному месту работы. Какие документы нужно оформить, чтобы отправить ее в отпуск до 1,5 без назначения пособия?	КОРОТКИЙ ВОПРОС: Какие документы нужно оформить
Добрый день, подскажите если сотрудник уходит в отпуск января 2024 года. Устроился к нам 30.05.2013 года, какой период работы должен указан быть в приказе	"Как рассчитывается отпуск в праздничные дни? question
Добрый день, подскажите если сотрудник уходит в отпуск января 2024 года. Устроился к нам 30.05.2013 года, какой период работы должен указан быть в приказе"
Добрый день, подскажите в отчете ЕФС-1 с подразделением 1.2(замена СЗВ-Стаж) должны указывать всех сотрудников или только у кого отпуск за свой счет, декретн,, вахтов. и т.д?	Как рассчитывает отпуск в праздничные дни?
Добрый день.Подскажите,пожалуйста. Сотрудница вышла в отпуск по уход.за ребенком до 1.5 лет, и сразу же вышла на работу на условиях неполного раб.времени с сохранением пособия. Как это отразить в СЗВ-СТАЖ? Код ДЕТИ не проставляем, верно? И нужно ли указать ставку 0,5?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу за ребенком до 1,5 лет с сохранением пособия?
Доброго Дня! Сотрудник отработал 6 мес., у него наступает право на оплачиваемый отпуск. Обязан ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника? Или может отказать и предоставить только за проработанное время? Спасибо.	Как рассчитывается оплачиваемый отпуск?
Добрый день! В какой срок и на какую дату нужно подать форму ЕФС-1 подраздел 1.2, до окончания отчетного периода, на сотрудницу которая подала заявление на отпуск по беременности и родам или по уходу за ребенком до 1,5 лет?	Как рассчитывается компенсация при увольнении в отпуске?
Доброго Дня! ИП закрывает магазин и предлагает сотрудникам другие места работы - в другом магазине. Если кто-либо из сотрудников отказывается, то обязан ли ИП сделать какие-либо выплаты этому сотруднику в связи с сокращением, кроме компенсации за отпуск? Спасибо.	"Как рассчитываются выплаты при сокращении числ работ user
 Вопрос пользователя: {Добрый день! Подскажите пожалуйста. У"
Каким образом исчисляется средний заработок при начислении отпуска по уходу до 1,5 лет, в случае если сотрудница числилась у двух страхователей?	КОРОТКИЙ ВОПРОС: Как рассчитывается средний заработок при начислении отпуска по уходу до 1,5 лет, если сотрудница числилась у двух страхователей?
Здравствуйте ! Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием? Если предоставляются , то они оплачиваемые или за свой счет ?	КОРОТКИЙ ВОПРОС: Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием?
